NAME,QTY,LOW (ea.),MID (ea.),HI (ea.),LOW,MID,HI
Acceptable Losses,1,0.05,0.15,0.75,0.05,0.15,0.75
Accursed Centaur,1,0.03,0.15,0.75,0.03,0.15,0.75
Aerie Bowmasters,1,0.03,0.14,0.70,0.03,0.14,0.7
Afflict,1,0.04,0.16,0.80,0.04,0.16,0.8
Afflict,1,0.04,0.16,0.80,0.04,0.16,0.8
Agent of Horizons,2,0.03,0.14,0.70,0.06,0.28,1.4
Aggressive Urge,1,0.03,0.17,0.85,0.03,0.17,0.85
Agility,1,0.05,0.16,0.80,0.05,0.16,0.8
Ainok Survivalist,1,0.04,0.21,0.99,0.04,0.21,0.99
Air Elemental,2
Airborne Aid,1,0.04,0.15,0.75,0.04,0.15,0.75
Akki Blizzard-Herder,1,0.05,0.17,0.85,0.05,0.17,0.85
Akoum Firebird,1,0.21,0.64,3.20,0.21,0.64,3.2
Akroan Jailer,1,0.03,0.15,0.75,0.03,0.15,0.75
Alabaster Potion,1,0.05,0.17,0.85,0.05,0.17,0.85
