NAME,QTY,SET,LOW (ea.),MID (ea.),HI (ea.),LOW,MID,HI
Acceptable Losses,1,Odyssey,0.05,0.15,0.75,0.05,0.15,0.75
Accursed Centaur,1,Onslaught,0.03,0.15,0.75,0.03,0.15,0.75
Aerie Bowmasters,1,Dragons of Tarkir,0.03,0.14,0.70,0.03,0.14,0.7
Afflict,1,Odyssey,0.05,0.15,0.75,0.05,0.15,0.75
Afflict,1,Tenth Edition,0.04,0.16,0.80,0.04,0.16,0.8
Agent of Horizons,2,Theros,0.03,0.14,0.70,0.06,0.28,1.4
Aggressive Urge,1,Tenth Edition,0.03,0.17,0.85,0.03,0.17,0.85
Agility,1,Mirage,0.05,0.16,0.80,0.05,0.16,0.8
Ainok Survivalist,1,Dragons of Tarkir,0.04,0.21,0.99,0.04,0.21,0.99
Air Elemental,2,Tenth Edition,0.07,0.20,0.98,0.14,0.4,1.96
Airborne Aid,1,Onslaught,0.04,0.16,0.80,0.04,0.16,0.8
Akki Blizzard-Herder,1,Betrayers of Kamigawa,0.05,0.16,0.80,0.05,0.16,0.8
Akoum Firebird,1,Battle for Zendikar,0.21,0.63,3.15,0.21,0.63,3.15
Akroan Jailer,1,Magic Origins,0.03,0.14,0.70,0.03,0.14,0.7
Alabaster Potion,1,Fourth Edition,0.04,0.17,0.85,0.04,0.17,0.85
